n_agents,shape,conclusion,steps
5,wheel,0.0,55
5,wheel,1.0,226
5,wheel,1.0,180
5,wheel,1.0,287
5,wheel,1.0,461
5,wheel,1.0,284
5,wheel,1.0,74
5,wheel,1.0,162
5,wheel,1.0,185
5,wheel,1.0,110
5,wheel,1.0,100
5,wheel,0.0,247
5,wheel,0.0,1
5,wheel,1.0,223
5,wheel,1.0,170
5,wheel,0.0,94
5,wheel,1.0,240
5,wheel,1.0,257
5,wheel,1.0,86
5,wheel,1.0,238
5,wheel,0.0,39
5,wheel,1.0,200
5,wheel,0.0,2
5,wheel,1.0,90
5,wheel,1.0,235
5,wheel,1.0,343
5,wheel,0.0,1
5,wheel,1.0,588
5,wheel,0.0,1
5,wheel,0.0,1
5,wheel,1.0,284
5,wheel,0.0,140
5,wheel,1.0,473
5,wheel,1.0,129
5,wheel,1.0,446
5,wheel,1.0,495
5,wheel,1.0,705
5,wheel,0.0,97
5,wheel,1.0,269
5,wheel,0.0,338
5,wheel,1.0,112
5,wheel,1.0,101
5,wheel,0.0,63
5,wheel,1.0,419
5,wheel,1.0,248
5,wheel,1.0,427
5,wheel,1.0,187
5,wheel,1.0,137
5,wheel,0.0,381
5,wheel,0.0,16
5,wheel,1.0,175
5,wheel,1.0,219
5,wheel,1.0,62
5,wheel,1.0,591
5,wheel,1.0,251
5,wheel,1.0,476
5,wheel,1.0,95
5,wheel,0.0,23
5,wheel,1.0,230
5,wheel,1.0,59
5,wheel,1.0,126
5,wheel,1.0,442
5,wheel,1.0,108
5,wheel,1.0,487
5,wheel,1.0,177
5,wheel,1.0,366
5,wheel,0.0,1
5,wheel,0.0,1
5,wheel,0.0,23
5,wheel,1.0,314
5,wheel,1.0,139
5,wheel,1.0,1543
5,wheel,1.0,169
5,wheel,1.0,121
5,wheel,1.0,93
5,wheel,0.0,4
5,wheel,1.0,70
5,wheel,1.0,264
5,wheel,0.0,33
5,wheel,1.0,167
5,wheel,1.0,143
5,wheel,0.0,22
5,wheel,1.0,366
5,wheel,1.0,207
5,wheel,1.0,437
5,wheel,1.0,198
5,wheel,0.0,12
5,wheel,1.0,205
5,wheel,1.0,337
5,wheel,1.0,376
5,wheel,1.0,612
5,wheel,1.0,404
5,wheel,1.0,515
5,wheel,0.0,1
5,wheel,1.0,57
5,wheel,1.0,339
5,wheel,1.0,149
5,wheel,1.0,121
5,wheel,1.0,226
5,wheel,1.0,223
5,wheel,1.0,91
5,wheel,1.0,128
